"location","doy","hour","soil.moist"
"deciduous",190,20,0.407125036111111
"deciduous",190,21,0.406217411777778
"deciduous",190,22,0.405668783666667
"deciduous",190,23,0.405028612333333
"deciduous",191,0,0.404711248888889
"deciduous",191,1,0.404693328333333
"deciduous",191,2,0.404851589444444
"deciduous",191,3,0.405352148222222
"deciduous",191,4,0.405795409555556
"deciduous",191,5,0.406245301222222
"deciduous",191,6,0.406735483
"deciduous",191,7,0.407175321
"deciduous",191,8,0.407370137888889
"deciduous",191,9,0.406920388
"deciduous",191,10,0.405635398222222
"deciduous",191,11,0.403431200777778
"deciduous",191,12,0.400756327888889
"deciduous",191,13,0.397451618666667
"deciduous",191,14,0.395285609333333
"deciduous",191,15,0.393160142666667
"deciduous",191,16,0.391558222111111
"deciduous",191,17,0.389135626555556
"deciduous",191,18,0.386980823333333
"deciduous",191,19,0.385360980666667
"deciduous",191,20,0.384125773333333
"deciduous",191,21,0.383137815
"deciduous",191,22,0.382321275111111
"deciduous",191,23,0.382130208
"deciduous",192,0,0.381523257111111
"deciduous",192,1,0.381028618777778
"deciduous",192,2,0.380436276888889
"deciduous",192,3,0.380119346333333
"deciduous",192,4,0.380348363333333
"deciduous",192,5,0.380621129666667
"deciduous",192,6,0.380742073777778
"deciduous",192,7,0.380941231
"deciduous",192,8,0.380868775111111
"deciduous",192,9,0.379802421
"deciduous",192,10,0.377608985111111
"deciduous",192,11,0.375644816333333
"deciduous",192,12,0.373974025555555
"deciduous",192,13,0.371933569222222
"deciduous",192,14,0.369615883555556
"deciduous",192,15,0.367158184333333
"deciduous",192,16,0.364926550222222
"deciduous",192,17,0.36242615
"deciduous",192,18,0.360491540111111
"deciduous",192,19,0.358776519222222
"deciduous",192,20,0.357716209444444
"deciduous",192,21,0.356609484333333
"deciduous",192,22,0.355796574
"deciduous",192,23,0.355550851555555
"deciduous",193,0,0.355092331444444
"deciduous",193,1,0.354460916
"deciduous",193,2,0.353858236555555
"deciduous",193,3,0.353463549111111
"deciduous",193,4,0.352594447
"deciduous",193,5,0.352271772888889
"deciduous",193,6,0.352261947111111
"deciduous",193,7,0.352025936222222
"deciduous",193,8,0.351382381555556
"deciduous",193,9,0.350454824
"deciduous",193,10,0.349238435444444
"deciduous",193,11,0.347818655111111
"deciduous",193,12,0.346055188555556
"deciduous",193,13,0.343475017444444
"deciduous",193,14,0.341119718666667
"deciduous",193,15,0.338393617
"deciduous",193,16,0.334982754333333
"deciduous",193,17,0.331831569555555
"deciduous",193,18,0.329362490888889
"deciduous",193,19,0.327393328
"deciduous",193,20,0.325897693222222
"deciduous",193,21,0.324818233111111
"deciduous",193,22,0.323858097444444
"deciduous",193,23,0.323075037777778
"deciduous",194,0,0.322383745888889
"deciduous",194,1,0.321847599111111
"deciduous",194,2,0.321278647111111
"deciduous",194,3,0.320731299666667
"deciduous",194,4,0.320155985444444
